carat,cut,color,clarity,depth,table,x,y,z,price
1.01,Premium,F,VS2,61.7,58,6.47,6.43,3.98,7240
0.71,Ideal,F,VS1,61.5,57,5.73,5.76,3.53,3404
0.71,Ideal,E,VS1,62.4,54,5.71,5.74,3.57,2923
1.51,Premium,I,VVS1,61,61,7.47,7.34,4.52,10824
1.02,Fair,I,SI2,65.5,57,6.19,6.24,4.07,3802
1.01,Very Good,E,SI1,62.9,59,6.3,6.38,3.99,4766
0.56,Ideal,D,VS1,61.1,56,5.3,5.33,3.25,2741
0.81,Premium,G,SI2,59,57,6.14,6.1,3.61,2274
2.52,Premium,H,SI2,62.4,57,8.72,8.66,5.43,17522
1.51,Premium,F,VS1,61.7,59,7.33,7.29,4.51,15581
1.24,Premium,F,SI1,61.4,62,6.94,6.88,4.24,6125
0.74,Ideal,F,VVS2,61.4,56,5.83,5.86,3.59,3842
1.01,Good,G,VS2,60.3,57,6.46,6.51,3.91,5655
0.57,Ideal,F,VVS1,61.1,55,5.36,5.44,3.3,3057
1.03,Very Good,H,SI1,60.4,60,6.41,6.53,3.91,5050
2.2,Ideal,I,SI2,62.2,56,8.34,8.29,5.18,14277
1.11,Ideal,G,IF,61.9,55,6.64,6.68,4.12,9931
1.7,Good,H,VS2,63.3,57,7.54,7.59,4.79,12117
1.02,Very Good,E,SI2,62.8,55,6.4,6.43,4.03,4398
1.01,Premium,D,VS1,60,58,6.6,6.54,3.94,8286
1.71,Ideal,G,VS2,61.8,57,7.7,7.6,4.73,16817
1.1,Very Good,G,IF,60.5,55,6.77,6.71,4.08,8592
1.5,Very Good,E,SI1,64,58,7.21,7.23,4.62,11194
2.22,Ideal,J,SI2,62.8,57,8.33,8.29,5.22,13703
1.21,Fair,G,SI1,64.6,60,6.69,6.62,4.3,6397
0.71,Ideal,G,VS2,61.8,56,5.73,5.76,3.55,3299
1.51,Premium,H,SI2,62.5,57,7.36,7.26,4.57,7864
1.32,Ideal,I,SI1,61.7,56,7.11,7.05,4.37,5544
0.93,Good,D,SI2,61.4,63,6.22,6.26,3.83,4165
0.71,Ideal,E,VS2,62.7,56,5.71,5.75,3.59,2891
1.3,Premium,G,VS2,62.5,58,6.97,6.93,4.36,9120
1.51,Premium,G,VS2,61.1,58,7.42,7.38,4.45,13828
1.01,Ideal,F,SI2,62.4,54,6.41,6.44,4.01,5154
2.02,Premium,I,SI2,59.4,59,8.21,8.25,4.89,14211
1,Premium,D,SI1,62.2,58,6.28,6.23,3.89,5096
1.5,Premium,D,SI2,60.5,59,7.37,7.27,4.43,10206
0.9,Good,G,SI2,62.7,59,6.04,6.12,3.81,3489
0.71,Good,E,SI2,57.8,60,5.86,5.83,3.38,2215
1.01,Ideal,H,SI1,62.6,54,6.38,6.34,3.98,4989
1.01,Premium,G,VVS2,61.6,60,6.41,6.38,3.94,7466
2,Very Good,J,VVS2,63,59,7.97,8,5.03,15076
1.01,Ideal,F,SI1,61.7,56,6.45,6.48,3.99,5932
1.54,Ideal,F,VS1,60.5,56,7.52,7.49,4.54,17949
0.84,Premium,D,VS1,60.6,57,6.15,6.06,3.7,4365
1.16,Premium,E,SI1,61.3,60,6.7,6.64,4.09,6366
0.73,Ideal,F,VVS2,62.2,54,5.8,5.75,3.59,3193
0.83,Ideal,F,SI1,62.2,55,6.01,6.03,3.74,3560
0.61,Ideal,D,VVS2,60.1,57,5.53,5.58,3.34,3336
1.09,Very Good,D,SI2,59.2,63,6.67,6.71,3.96,4244
1.1,Ideal,I,SI1,62.1,57,6.6,6.64,4.11,5037
0.73,Ideal,D,VS1,61.5,58,5.76,5.79,3.55,4196
1.15,Premium,H,SI1,60.9,57,6.8,6.72,4.12,5139
0.72,Ideal,E,VS1,62.6,55,5.7,5.73,3.58,3275
1.09,Ideal,G,VS1,60.4,58,6.67,6.7,4.04,8296
1.18,Ideal,I,VS2,62.3,55.6,6.73,6.76,4.21,6191
0.71,Very Good,D,VS2,63,58,5.65,5.68,3.57,3096
0.82,Fair,H,SI1,64.9,58,5.82,5.77,3.76,3057
0.66,Ideal,D,SI1,62.7,55,5.56,5.61,3.5,2079
0.71,Ideal,D,VS2,61.2,57,5.73,5.77,3.52,3321
2,Premium,H,SI1,59.8,60,8.04,8.01,4.8,14126
1.51,Ideal,G,VS2,59.8,60,7.45,7.5,4.47,12846
1.04,Very Good,E,SI1,59.6,59,6.56,6.59,3.92,5662
2,Fair,G,SI2,65.1,57,7.84,7.78,5.09,11355
1,Good,F,IF,63.2,63,6.24,6.26,3.95,9867
1.51,Ideal,D,SI1,61.9,57,7.35,7.42,4.57,11834
0.71,Ideal,I,VS2,62.3,58,5.67,5.72,3.55,2360
1.07,Premium,F,VS1,60.6,61,6.62,6.56,3.99,6885
1.03,Ideal,J,VS2,61.6,57,6.52,6.47,4,4283
1.23,Very Good,E,VVS2,60.4,62,6.88,6.93,4.17,11175
0.9,Good,D,VVS1,62.9,58,6.01,6.1,3.81,8239
1.13,Good,F,SI2,56.5,62,6.93,6.88,3.9,4998
0.72,Ideal,H,VS2,62.3,52,5.76,5.82,3.61,2548
1.28,Ideal,I,SI2,61.7,59,6.96,6.92,4.28,5419
1.5,Very Good,G,VVS2,62.9,56,7.22,7.32,4.57,15013
1.1,Very Good,E,SI1,61.3,58,6.64,6.71,4.09,4791
0.79,Good,J,VS2,57.6,59,6.13,6.06,3.51,2048
1.02,Ideal,F,VS2,62.7,57,6.44,6.47,4.05,6614
1.11,Ideal,H,SI1,61.6,56,6.65,6.69,4.11,5358
1.1,Good,D,SI2,57,62,6.91,6.84,3.92,4361
0.72,Ideal,F,VS1,62,56,5.76,5.73,3.56,2879
1.01,Very Good,H,SI1,63.5,62,6.36,6.24,4,4513
0.59,Ideal,E,VVS2,61.8,56,5.39,5.42,3.34,2515
2.04,Premium,J,VS2,61.4,59,8.14,8.04,4.97,13600
1.58,Ideal,E,SI1,61,57,7.55,7.5,4.59,13557
2.38,Premium,J,SI2,60.6,59,8.66,8.63,5.24,10716
1.89,Ideal,J,VS1,62,56,7.93,7.98,4.93,12674
0.72,Ideal,D,VS2,62.1,57,5.69,5.75,3.55,3179
1.72,Premium,H,SI1,62.2,59,7.62,7.55,4.72,9551
0.75,Very Good,G,SI1,62.3,59,5.77,5.81,3.61,2462
1.7,Premium,H,VS2,62.4,57,7.6,7.54,4.72,13298
1.32,Premium,J,SI2,61.2,59,7.08,7.04,4.32,4160
1.02,Very Good,G,VVS1,62.1,59,6.36,6.39,3.96,7861
1.01,Premium,H,SI1,61.8,59,6.41,6.37,3.95,4965
1.5,Very Good,J,VS1,61.3,59,7.36,7.41,4.53,8662
0.71,Fair,D,SI2,64.6,60,5.62,5.59,3.62,2198
1.1,Premium,F,VS2,60.5,57,6.7,6.69,4.05,9486
0.71,Ideal,F,VS1,61.9,56,5.7,5.74,3.54,2907
2.01,Very Good,E,SI2,61.2,58,8.05,8.07,4.93,14813
1.01,Very Good,G,VS2,61.5,56,6.41,6.47,3.96,5759
1.08,Good,J,SI2,63.2,59,6.4,6.57,4.1,3742
0.76,Ideal,E,SI1,62.4,57,5.83,5.87,3.65,3087
1.01,Very Good,E,VS2,63.3,56,6.34,6.37,4.02,6522
1.41,Good,E,VVS2,59.9,61,7.21,7.37,4.37,14853
0.66,Ideal,D,VVS2,61.6,57,5.64,5.57,3.45,3049
1.11,Ideal,D,SI2,61.3,56,6.74,6.68,4.12,6241
1.51,Ideal,F,SI1,62.8,57,7.28,7.33,4.59,12545
2.43,Fair,G,SI2,64.5,57,8.41,8.36,5.41,14975
1.13,Ideal,D,SI2,60.1,55,6.79,6.85,4.1,5412
1.01,Premium,D,VS1,61.6,58,6.44,6.42,3.96,8823
0.9,Ideal,J,SI1,62.6,54,6.16,6.23,3.88,3102
1.51,Good,F,SI2,63.4,57,7.25,7.29,4.61,9301
1.21,Ideal,I,SI1,62.4,55,6.81,6.78,4.24,5218
1.02,Ideal,G,VVS2,61.1,57,6.48,6.51,3.97,7898
1.57,Very Good,I,VS2,60.3,58,7.58,7.55,4.56,10447
0.71,Very Good,G,VVS2,60.8,58,5.75,5.77,3.5,2977
1,Very Good,J,SI2,62.8,54,6.35,6.43,4.01,3991
0.9,Good,H,VS2,64,57,6.14,6.11,3.92,3538
2.8,Good,G,SI2,63.8,58,8.9,8.85,0,18788
1.01,Very Good,E,VS2,63.2,57,6.38,6.35,4.02,6787
2.14,Fair,H,I1,66.4,56,8,7.92,5.29,6328
1.01,Very Good,G,SI1,63.4,58,6.29,6.4,4.02,5051
1.01,Good,E,SI1,63.1,60,6.34,6.37,4.01,4912
0.53,Ideal,D,VS2,60.8,56,5.24,5.27,3.2,2067
1.12,Ideal,D,SI1,61.2,58,6.65,6.68,4.08,7145
0.81,Premium,I,VVS2,62.9,59,5.95,5.84,3.71,3084
1.01,Premium,F,VS2,62.5,59,6.41,6.32,3.98,7062
0.7,Premium,F,SI1,61,59,5.75,5.69,3.49,2423
0.71,Fair,G,SI1,65.5,55,5.59,5.56,3.65,2300
2.5,Ideal,J,SI2,63.8,53,8.56,8.5,5.45,15246
1.5,Premium,I,SI1,62.3,58,7.33,7.22,4.53,6888
0.7,Very Good,F,VVS2,58.5,60,5.82,5.94,3.44,3028
0.71,Very Good,H,SI1,62.9,58,5.62,5.66,3.55,2246
1.26,Good,I,SI2,63.7,58,6.84,6.79,4.34,4953
1.39,Premium,G,SI1,61.3,59,7.24,7.15,4.41,7991
1,Good,F,SI1,64,57,6.29,6.33,4.04,4372
1.08,Ideal,H,VS2,62.1,56,6.59,6.56,4.08,5839
2.09,Premium,J,SI1,62.2,59,8.23,8.16,5.1,13864
1,Ideal,I,VS2,62.4,52,6.41,6.45,4.02,4841
1.62,Ideal,G,VS1,62.7,56,7.44,7.51,4.69,15246
1.01,Very Good,F,VS1,59.9,59,6.52,6.57,3.92,6825
1,Very Good,E,SI1,61.7,57,6.34,6.47,3.95,5239
1,Very Good,G,I1,62.5,62,6.42,6.35,3.99,3011
1.16,Premium,F,VS2,62.7,58,6.71,6.65,4.19,7003
1.01,Premium,F,I1,61.8,60,6.39,6.36,3.94,2781
1.54,Premium,D,VS2,59.3,59,7.54,7.61,4.49,16736
1.03,Premium,F,SI1,58.6,62,6.65,6.6,3.88,5087
1.02,Premium,H,I1,62.5,60,6.39,6.41,4,3141
1,Premium,F,SI1,61.4,62,6.36,6.32,3.89,4939
1.5,Very Good,H,VS1,63.3,59,7.15,7.1,4.51,9173
1.29,Very Good,G,SI2,63.2,54,6.96,6.94,4.39,4045
1.25,Ideal,J,VVS2,62.1,56,6.81,6.84,4.24,5980
0.9,Good,E,VVS1,63.4,60,6.06,6.11,3.86,7214
1.02,Premium,H,SI1,61.1,58,6.51,6.46,3.96,5084
1,Premium,F,SI2,58.2,59,6.51,6.49,3.78,4480
1.12,Premium,I,SI2,61.2,58,6.72,6.68,4.1,3669
0.7,Ideal,G,VVS2,60.6,56,5.69,5.82,3.49,3191
1.5,Fair,J,SI2,65.5,60,7.07,7.03,4.62,5268
0.82,Very Good,G,VS2,59.8,56,6.13,6.18,3.68,3535
1,Very Good,E,VS2,62.8,60,6.32,6.36,3.98,6600
2.25,Fair,H,I1,67.7,58,8.01,7.97,5.41,6653
0.77,Premium,H,VS1,61.3,60,5.9,5.88,3.61,2789
0.51,Good,F,VVS2,62.4,63,5.05,5.08,3.16,2195
1.01,Ideal,F,VS2,60.3,56,6.56,6.5,3.94,6794
0.8,Ideal,E,SI1,62,57,5.97,5.94,3.69,3297
1.02,Premium,I,VS2,61.1,59,6.4,6.37,3.9,3713
1.51,Premium,J,SI1,61.2,62,7.36,7.32,4.49,6976
0.82,Ideal,F,SI2,61.7,53,6,6.12,3.74,2841
0.58,Ideal,D,VVS1,61.6,60,5.34,5.35,3.29,3154
1.2,Very Good,I,VS2,61.7,59,6.83,6.88,4.23,5884
1.01,Good,G,VS1,63.8,57,6.35,6.38,4.06,6759
0.75,Ideal,H,SI1,61.9,56,5.81,5.85,3.61,3011
1.21,Fair,J,SI1,65,59,6.64,6.57,4.29,4147
1.08,Premium,F,VS2,62.1,59,6.59,6.54,4.08,7637
1.35,Ideal,J,VS2,61.4,57,7.13,7.1,4.37,5969
0.9,Good,D,SI1,61.9,64,6.09,6,3.74,3505
1,Very Good,D,SI1,62.8,58,6.35,6.39,4,5005
1.01,Very Good,I,SI1,63.3,54,6.34,6.36,4.02,4749
1.25,Premium,H,VS1,61.3,55,6.96,6.93,4.26,8099
0.71,Premium,I,VVS2,61.9,60,5.69,5.75,3.54,2428
1.3,Ideal,H,VVS1,62.8,55.2,6.94,6.97,4.36,9232
1.09,Ideal,G,VVS1,62.1,55,6.58,6.63,4.1,8778
0.84,Ideal,J,VS1,62,55,6.07,6.06,3.76,2456
1.22,Ideal,I,SI1,62.3,58,6.8,6.82,4.24,6398
0.7,Very Good,I,VS1,63.1,57,5.67,5.59,3.55,2411
0.73,Very Good,G,SI1,58.8,61,5.87,5.93,3.47,2564
0.7,Ideal,I,SI1,62.5,55,5.68,5.71,3.56,2110
0.7,Ideal,E,VS2,61.5,54,5.7,5.75,3.52,2835
1.75,Very Good,G,VS2,62.6,58,7.63,7.67,4.79,16632
1.56,Very Good,H,VVS2,63.3,58,7.3,7.35,4.64,12098
1.02,Good,G,VVS1,63.6,58,6.4,6.37,4.06,8005
0.71,Ideal,G,SI1,60.6,57,5.72,5.8,3.49,2233
1.22,Premium,I,SI2,62.9,56,6.84,6.79,4.29,5165
0.77,Ideal,D,VS2,61.1,57,5.93,5.96,3.63,3837
1.51,Very Good,I,SI2,60.6,60.2,7.32,7.37,4.45,7441
1,Premium,G,VS2,63,59,6.45,6.32,4.02,5967
1.3,Very Good,H,SI2,62.8,58,6.93,7.01,4.38,6140
1.03,Ideal,F,VVS2,61.9,53,6.52,6.54,4.04,9131
1.22,Premium,I,SI1,62.7,58,6.83,6.8,4.27,5602
1.01,Good,F,SI1,63.4,55,6.35,6.42,4.05,4339
1.51,Premium,E,VS2,62.2,58,7.33,7.27,4.54,13757
1.09,Premium,H,SI1,60.5,60,6.72,6.67,4.05,5149
1.05,Ideal,G,VS2,61.9,57,6.47,6.51,4.03,6562
0.71,Premium,H,VS1,62.4,58,5.73,5.68,3.56,2572
0.71,Ideal,G,SI1,59.7,60,5.79,5.81,3.46,2522
2.1,Very Good,H,SI2,63,57,8.08,8.13,5.11,16479
0.52,Premium,E,VVS2,60.1,59,5.27,5.22,3.15,2467
0.84,Very Good,F,VVS2,60.4,62,6.1,6.15,3.7,4318
2.39,Very Good,J,VS1,59.6,60,8.71,8.77,5.21,17920
2.15,Premium,J,SI1,62.4,60,8.24,8.18,5.12,13746
1.2,Very Good,H,VS2,63.3,59,6.78,6.74,4.28,6833
1,Premium,H,VS1,62.7,58,6.37,6.33,3.98,4732
1.41,Ideal,G,VS1,60.4,57,7.31,7.22,4.39,11109
2.29,Premium,H,SI2,62.5,58,8.43,8.37,5.25,17666
0.91,Very Good,E,SI1,63.9,57,6.05,6.12,3.89,4289
0.71,Very Good,E,SI2,62.7,59,5.7,5.75,3.59,2397
1,Ideal,D,SI1,60.6,56,6.5,6.54,3.95,5775
1.54,Premium,G,VS2,61.1,59,7.44,7.4,4.53,12308
0.51,Ideal,D,IF,62,56,5.14,5.18,3.2,3446
0.71,Very Good,F,SI2,59,58,5.84,5.89,3.46,2098
1.07,Very Good,E,SI2,61.7,58,6.54,6.56,4.04,5304
1.51,Premium,E,SI1,61.5,61,7.41,7.31,4.53,11565
1.51,Good,I,SI1,63.8,59,7.27,7.21,4.62,6266
1.02,Very Good,H,SI1,63.7,55,6.31,6.38,4.04,4552
2,Good,F,SI1,63,61,7.85,7.99,4.99,18376
1.31,Premium,H,VS2,61.4,59,7.01,6.96,4.29,7550
1.09,Very Good,G,VVS2,59.8,61,6.64,6.7,3.99,7583
1.08,Premium,H,VS1,59.6,59,6.72,6.66,3.99,5582
1.7,Ideal,I,VS1,62.2,55,7.63,7.67,4.76,12622
0.7,Very Good,F,SI1,61.1,57,5.7,5.73,3.49,2409
1.09,Very Good,H,SI1,60.6,60,6.61,6.68,4.03,5131
1.01,Very Good,G,VS2,63.2,57,6.35,6.3,4,5701
1.53,Premium,G,VS1,62.6,60,7.39,7.3,4.6,14699
0.71,Ideal,G,VVS1,61.7,57,5.7,5.75,3.53,2982
0.74,Ideal,F,SI1,61,57,5.85,5.81,3.56,2851
1.1,Premium,E,SI2,60.1,62,6.69,6.65,4.01,4691
0.9,Very Good,G,SI2,63.4,59,6.08,6.04,3.84,3246
1.62,Premium,G,VS2,62.3,58,7.54,7.49,4.68,13702
1.31,Ideal,G,VVS1,61.9,55,7.03,7.05,4.36,13406
1,Premium,G,VVS2,59.5,61,6.46,6.42,3.83,7589
1.73,Premium,F,SI1,58,62,7.95,7.91,4.6,13365
0.71,Ideal,G,SI2,59.5,57,5.86,5.78,3.46,2194
0.73,Very Good,E,SI1,63.2,58,5.71,5.74,3.62,2679
0.76,Ideal,I,VS2,61.8,58,5.84,5.87,3.62,2551
1.01,Good,J,SI2,63.7,60,6.4,6.29,4.05,3088
0.65,Ideal,H,VS1,61.8,55,5.6,5.56,3.45,2106
0.91,Fair,J,SI1,66.3,56,5.92,5.99,3.95,2390
1.28,Ideal,H,VVS1,61.3,55,7.01,7.06,4.31,8928
1.41,Good,H,VS2,63.8,60,7.12,7.04,4.52,9254
1.2,Premium,H,VS2,62.4,59,6.73,6.69,4.19,6416
0.7,Very Good,F,VS2,61,59,5.69,5.75,3.49,2362
1.02,Fair,F,SI1,61.8,50,6.59,6.51,4.05,4227
0.94,Premium,E,SI2,62.4,58,6.26,6.33,3.93,4098
0.71,Good,I,VS1,61.5,64,5.76,5.65,3.51,2327
0.9,Ideal,D,SI2,62.4,56,6.24,6.16,3.87,4007
1.27,Premium,G,VVS2,61,58,6.96,7.01,4.26,10203
1.06,Premium,H,VS2,62.6,58,6.49,6.54,4.08,5783
1.26,Ideal,H,SI1,61.9,57,6.88,6.93,4.27,8110
1.21,Very Good,G,VS2,59.5,58,6.96,7.03,4.16,7906
1.02,Ideal,I,SI1,62.9,57,6.41,6.37,4.02,3656
1.2,Premium,G,VS2,59.6,58,6.94,6.89,4.12,7258
0.76,Ideal,F,SI2,61.9,57,5.87,5.9,3.64,2403
0.71,Premium,G,VS2,60.3,59,5.79,5.76,3.48,2443
0.8,Ideal,I,SI1,59.4,58,6.07,6.09,3.61,2927
1.5,Very Good,J,VS2,62.6,58,7.25,7.29,4.55,7492
1.57,Premium,J,VS1,61.3,59,7.47,7.44,4.57,8752
1.01,Ideal,J,SI1,60.2,59,6.48,6.51,3.91,4194
2,Good,G,SI2,64.3,56,7.93,7.89,5.09,12654
1.22,Very Good,J,SI2,63.5,58,6.8,6.75,4.3,3443
1.54,Very Good,H,SI2,62.3,56,7.33,7.38,4.58,8301
0.81,Good,D,SI2,63.6,55,5.91,5.86,3.74,2926
0.7,Very Good,E,SI1,61.5,56,5.74,5.8,3.55,2239
0.7,Premium,F,SI1,58.6,59,5.83,5.78,3.4,2657
2.01,Premium,H,SI1,60.6,62,8.08,8.05,4.89,16733
0.75,Premium,H,SI1,60.7,62,5.87,5.82,3.55,2331
0.81,Ideal,I,VS2,61.4,55,6.03,6.06,3.71,3355
0.92,Premium,I,SI2,61.5,59,6.27,6.21,3.84,3040
1.14,Ideal,F,I1,61.7,57,6.7,6.67,4.13,3824
1.31,Very Good,H,VS2,61.4,59,6.96,7.01,4.29,7415
1.01,Very Good,F,SI1,59.7,61,6.49,6.55,3.89,4899
1,Ideal,H,SI1,61.4,57,6.37,6.34,3.9,4564
0.7,Very Good,F,SI1,61.4,57,5.73,5.77,3.53,2161
1.52,Premium,D,SI2,60.6,62,7.42,7.37,4.48,9561
0.72,Ideal,I,VS1,61.7,54.5,5.77,5.8,3.57,2430
1.12,Ideal,I,VS2,62.8,55,6.69,6.66,4.19,4986
1.2,Ideal,I,VVS2,61.5,57,6.91,6.82,4.22,6581
0.8,Very Good,F,VS1,63.8,55,5.84,5.89,3.74,3603
1.02,Very Good,F,SI2,60.3,59,6.5,6.53,3.93,4241
0.78,Ideal,G,VS2,62.6,57,5.87,5.91,3.69,3325
0.73,Ideal,G,SI1,61.6,57,5.81,5.79,3.57,2278
1.02,Very Good,G,VS1,62,59,6.39,6.45,3.98,6126
1.18,Good,D,SI2,60.7,63,6.77,6.81,4.12,5168
2.02,Premium,I,SI1,61.4,58,8.14,8.07,4.98,14240
1.2,Premium,G,VS1,63,61,6.62,6.59,4.16,8938
0.7,Ideal,E,VS2,61.4,57,5.72,5.78,3.53,2274
1.05,Ideal,G,VS1,61.1,56,6.54,6.59,4.01,7523
2.06,Good,J,SI1,64.1,56,7.97,8.09,5.15,11746
1.06,Very Good,G,SI2,63.4,61,6.46,6.37,4.07,4057
1.08,Ideal,G,SI1,61.7,56,6.6,6.63,4.08,5439
1.53,Premium,G,SI1,61.7,59,7.31,7.4,4.54,9572
1.5,Premium,G,SI1,62.6,55,7.31,7.27,4.56,9265
2,Premium,H,SI2,59.7,61,8.2,8.15,4.88,15451
1.21,Very Good,H,SI1,59.6,60,6.93,6.94,4.13,7203
1.01,Premium,F,SI1,62.3,59,6.38,6.4,3.98,4969
1.01,Very Good,D,IF,63.4,59,6.39,6.26,4.01,15219
0.9,Ideal,H,SI2,62,57,6.19,6.17,3.83,3516
1.54,Very Good,G,IF,59.4,60,7.55,7.61,4.5,15444
0.85,Premium,E,VS2,60.2,60,6.14,6.09,3.68,3803
0.84,Ideal,G,VS2,62,55,6.07,6.09,3.77,3936
0.78,Very Good,D,VS2,62.2,56,5.85,5.91,3.66,3668
0.94,Premium,E,SI2,60.4,59,6.34,6.37,3.84,3825
1.51,Premium,I,SI1,62.2,60,7.3,7.23,4.52,8794
0.72,Ideal,I,VVS2,61.3,56,5.77,5.8,3.55,2591
0.9,Very Good,D,SI1,62.7,56,6.12,6.16,3.85,4381
0.7,Very Good,E,VS2,60.5,59,5.71,5.76,3.47,2757
0.74,Ideal,D,SI1,61.5,56,5.8,5.84,3.58,2987
1.53,Very Good,I,VS1,62.8,55,7.35,7.4,4.63,10602
1.5,Very Good,D,SI2,58.7,57,7.42,7.48,4.37,9009
2.01,Good,I,SI2,63.5,60,7.86,7.94,5.02,12985
1.01,Premium,F,VS2,62,59,6.45,6.38,3.98,6097
0.92,Good,J,SI2,59,63,6.3,6.35,3.73,3070
1.1,Ideal,H,VS2,62.7,56,6.58,6.63,4.14,6344
1.5,Very Good,F,SI1,63,55,7.27,7.31,4.59,10372
1.2,Premium,H,SI2,60.8,59,6.8,6.75,4.12,4301
1.19,Very Good,H,SI1,62.7,61,6.66,6.73,4.2,5595
0.93,Very Good,F,SI1,61.1,58,6.26,6.3,3.84,4534
1.01,Premium,G,VVS2,60.7,58,6.52,6.49,3.95,7862
1.02,Ideal,G,VS1,61.3,56,6.49,6.53,3.99,7192
0.7,Good,F,SI1,63.1,64,5.58,5.61,3.53,2058
1.8,Ideal,H,VS1,62.3,56,7.76,7.79,4.84,14968
1.54,Premium,H,VS2,61.9,59,7.31,7.33,4.53,11663
1.05,Premium,F,SI2,62.6,59,6.47,6.43,4.04,4557
0.73,Premium,F,VS2,58.7,57,5.97,5.92,3.49,2882
1.01,Premium,F,VS2,59.2,60,6.51,6.54,3.86,6416
1.2,Ideal,G,VVS2,62.2,56,6.76,6.81,4.22,9373
2,Fair,J,VS2,65.4,58,7.96,7.75,5.14,11966
1.02,Premium,D,SI2,60,62,6.59,6.5,3.93,4381
1.01,Very Good,D,SI1,61.6,59,6.42,6.47,3.97,5815
1,Premium,D,VVS2,58.3,61,6.55,6.48,3.8,9274
1.53,Premium,I,SI1,61.5,59,7.39,7.32,4.52,8911
1.06,Premium,G,VS1,62.2,55,6.58,6.51,4.07,6853
1.05,Very Good,E,SI2,62.9,57,6.47,6.51,4.08,4398
1.5,Very Good,H,VS1,59.6,60,7.39,7.42,4.41,12152
0.9,Good,G,VS2,60.4,61,6.23,6.32,3.79,4547
1.51,Very Good,G,SI2,62.8,56,7.22,7.3,4.56,8637
1.03,Fair,G,SI2,65.6,58,6.3,6.26,4.12,3765
0.53,Very Good,E,IF,59.8,60,5.28,5.35,3.18,2542
1.02,Very Good,J,VS2,59.3,58,6.56,6.62,3.91,3796
1.01,Very Good,F,VS2,63.3,57,6.41,6.33,4.03,6533
2.21,Premium,F,SI1,62.1,59,8.33,8.26,5.15,16804
2.01,Good,F,SI2,64,58,7.94,7.83,5.05,17313
