"","price"
"128",5617.8311597259
"129",5018.35798010817
"130",2286.11366064576
"131",13954.4144568981
"132",7012.68122863064
"133",4120.85941929597
"134",4316.74152053691
"135",5007.08509509487
"136",4259.16404109527
"137",4030.83419703714
"138",7052.97883670212
"139",10023.3130559328
"140",3001.13531787768
"141",3912.75818447382
"142",5634.15202929216
"143",3270.8290358826
"144",6324.0556271991
"145",6678.45594434515
"146",3338.55114432353
"147",14300.1146178769
"148",7332.06937235687
"149",16401.6552972691
"150",8131.99601679648
"151",2367.14547974989
"152",4990.70725324399
"153",8950.49289395457
"154",8933.4363474045
"155",5460.79369738027
"156",2170.78384097166
"157",7101.80023938946
"158",3470.70051102703
"159",7545.8965402479
"160",4211.49697159638
"161",2154.36364295107
"162",3038.59329243723
"163",16437.1169237855
"164",8089.01612073799
"165",3561.28556935418
"166",5595.21387513187
"167",16697.6626888429
"168",5396.20653859185
"169",11859.2656749275
"170",6795.17819918954
"171",3710.85407053281
"172",3999.158903871
"173",12112.652390238
"174",4055.14795065178
"175",7125.61484692593
"176",2551.38870220569
"177",4842.8206858249
"178",4881.21902583227
"179",2523.69674787336
"180",2339.4185095546
"181",4279.56493200622
"182",3475.9378571987
"183",2309.78834427485
"184",6112.15435507244
"185",2329.55089519829
"186",16358.303523693
"187",2083.3210401647
"188",4989.67449701818
"189",3427.48144493897
"190",2189.34945122803
"191",2706.67756615983
"192",2701.88593279216
"193",8787.95170198378
"194",6341.12147497872
"195",2677.14400488079
"196",15438.8819797253
"197",2490.6344896458
"198",8583.04433008983
"199",3973.77315314014
"200",2508.65721377596
"201",2802.09716320416
"202",12364.7380403071
"203",7029.16540514353
"204",5021.22435769071
"205",9689.61499577825
"206",2725.87093340977
"207",2711.3709476999
"208",10104.4679621979
"209",4726.39998298726
"210",7861.92052908751
"211",8608.83247152485
"212",4911.22465000873
"213",2353.71092572999
"214",12009.0226657467
"215",5645.31776458938
"216",5482.82573381981
"217",8775.79103807277
"218",5189.23245688192
"219",4722.46234528233
"220",2758.51195302443
"221",11226.3683369154
"222",4746.48292975989
"223",13674.8851389281
"224",4945.64356971327
"225",9315.40601605747
"226",13054.0785176457
"227",4873.82454371829
"228",7815.13971170964
"229",9141.90873548604
"230",5748.50631484
"231",5041.36183617594
"232",2896.39159916192
"233",2446.78801613503
"234",3491.6519054394
"235",5235.97783393939
"236",5069.77607215025
"237",2048.00828941646
"238",5454.15692075461
"239",6407.19625090456
"240",12902.421340981
"241",4065.59340567754
"242",5474.64256167104
"243",2538.70517701063
"244",2535.39400783066
"245",15784.8533383303
"246",7409.02191826619
"247",2336.30187263734
"248",4359.72541441312
"249",6033.47013385605
"250",4798.95162614042
"251",2049.64737414049
"252",14879.4091892771
"253",3553.22315070775
"254",6912.29109283447
"255",2689.64858919316
"256",9407.44933479222
"257",6504.53662078016
"258",2493.21061118003
"259",7433.44721663129
"260",6557.1784855055
"261",2278.79476967595
"262",6505.65950531666
"263",3016.09048809974
"264",7811.65210938117
"265",6720.99572647703
"266",4722.42695592594
"267",3237.83952422772
"268",9241.75012257826
"269",14858.4187499756
"270",2179.77983770081
"271",9550.42111121221
"272",3841.07890995584
"273",15324.3344438117
"274",2614.0454597449
"275",4112.30797568155
"276",2220.73438926771
"277",2326.28829000183
"278",9083.39583508808
"279",6003.54063442625
"280",4708.57309341663
"281",4102.86695916189
"282",5807.77061736967
"283",6618.43627574027
"284",10056.6334655051
"285",5711.35861997337
"286",12841.2584893959
"287",4590.88748821534
"288",12200.5851365202
"289",2339.20757675342
"290",3049.78263791858
"291",11296.7933610235
"292",4850.69498888802
"293",13630.7446558433
"294",4078.1068160242
"295",17084.4361737082
"296",4756.11226288262
"297",7380.95858762642
"298",5547.39248349696
"299",7886.00487129935
"300",2831.92021126132
"301",3781.4446768775
"302",16718.3218389956
"303",9325.18618194476
"304",2608.12590691109
"305",2396.8537981449
"306",2363.12727807314
"307",4564.06041747333
"308",4843.52425106511
"309",3187.67241353957
"310",3424.53772441868
"311",5085.90768509343
"312",8828.59658914452
"313",8937.89014520412
"314",17102.4683725101
"315",2325.30527976937
"316",3540.85239211618
"317",7238.4558436983
"318",5042.07316461317
"319",2612.36647712607
"320",3792.1445924862
"321",4225.94216087974
"322",5009.18548184836
"323",6100.39986280125
"324",6093.90315028447
"325",4775.92568243537
"326",2186.17174407719
"327",2923.37651608932
"328",3713.90271690076
"329",15552.0473632373
"330",3057.76634014069
"331",2640.78109416368
"332",2571.22445827018
"333",5131.55628006118
"334",4399.9805288439
"335",15447.379867461
"336",2589.24211737971
"337",6515.18839831703
"338",4069.65343676947
"339",5992.50887495186
"340",3955.56194947189
"341",5114.1034510277
"342",3233.48340433361
"343",3067.54051499353
"344",3276.69538545581
"345",12880.7130948287
"346",6809.82508803502
"347",5986.22321144308
"348",9545.15569978916
"349",3119.2238273338
"350",2751.58256104338
"351",14366.0548544402
"352",6870.360927901
"353",13281.7824693255
"354",5226.55897486601
"355",2396.7156331742
"356",12792.2902991954
"357",10314.3637842902
"358",3463.55942689065
"359",5195.10789502859
"360",8354.7717719893
"361",5466.83061584578
"362",11696.3154375303
"363",16016.9632250401
"364",3863.14010363311
"365",2128.15473662523
"366",7570.9316322137
"367",6904.43951989298
"368",9862.80523863661
"369",2365.63971069318
"370",2540.62099290931
"371",5951.39598288549
"372",3466.00502370471
"373",12278.1106912315
"374",3373.21532246356
"375",2104.87145296983
"376",10442.6777897613
"377",5861.73342330081
"378",4177.92150474365
"379",8123.00833543632
"380",7207.56498477713
"381",4259.53974570506
"382",7216.50070024463
"383",4012.83688235112
"384",7552.17020639887
"385",6799.95027975843
"386",2449.36510487268
"387",13523.660118795
"388",2943.02655887789
"389",4080.21212407107
"390",15498.3414992291
"391",2091.5519391118
"392",10595.0974321347
"393",2303.23952038841
"394",2106.6702793089
"395",5386.25603562926
"396",3720.25566537535
"397",5586.45980218015
"398",6055.37261632051
"399",3574.74445398692
"400",11278.8525519707
"401",2425.20172319334
"402",3540.71335511424
"403",5258.5714516638
"404",5038.0892231125
"405",3007.47272858832
"406",4091.43001735138
"407",2832.09653364207
"408",12139.1749705506
"409",2508.21778211894
"410",5749.60215678763
"411",3229.48984766844
"412",2143.80017369952
"413",2219.15435572621
"414",5344.88775255446
"415",6760.70920405111
"416",4121.48215541135
"417",1980.07118681655
"418",16648.145411543
"419",4755.53405004963
"420",2932.84877539988
"421",3692.30377999923
"422",3327.54926751274
"423",4604.46898353866
"424",16011.0817803924
"425",4806.23634231483
"426",2329.32365972642
"427",2966.17890884308
"428",11143.5381004776
"429",7656.4604144766
"430",10982.1760822866
"431",2450.55953823561
"432",4893.32155856836
"433",2231.3666032025
"434",9699.78450244616
"435",2418.38513436627
"436",7783.19954418589
"437",9475.77915594927
"438",2863.03609781552
"439",4195.33424487448
"440",10334.0916753304
"441",3767.58876231895
"442",2583.49575859724
"443",10254.9853783602
"444",1880.97498510029
"445",16300.8457474609
"446",7007.38346804447
"447",5458.29582615094
"448",4928.13546661493
"449",3366.28054853089
"450",8489.17578079084
"451",7049.73832246618
"452",5442.50044733919
"453",6730.68785622468
"454",3189.50997473287
"455",2910.80104857684
"456",4200.63882750376
"457",10243.9560464127
"458",6594.82723594945
"459",4841.16508413085
"460",5741.50501609695
"461",4388.71941172582
"462",17266.8827604939
"463",2138.19156128207
"464",3424.72408971567
"465",5840.80931514197
"466",17681.246573861
"467",6798.16423829037
"468",15886.0694998695
"469",5171.91559682181
"470",6691.78316293678
"471",5938.00483137862
"472",3723.44310349887
"473",11630.9283826682
"474",3726.51482894799
"475",7202.5774547602
"476",3424.40939418949
"477",3713.91432183671
"478",5194.4000244702
"479",5051.88486219355
"480",11553.0464193874
"481",4280.82974525054
"482",5241.96092392965
"483",2772.4733047123
"484",4472.99810126662
"485",4495.48949743398
"486",8355.33637655468
"487",3816.23671078487
"488",5441.67745776506
"489",17734.643927007
"490",9162.81478928508
"491",5497.68291854103
"492",10113.6037958032
"493",2761.12063365677
"494",2525.18461600858
"495",3991.27429322599
"496",2970.87156718891
"497",2315.30791202496
"498",5450.31511878191
"499",4770.91650548989
"500",10239.1297991782
"501",4017.06886861683
"502",2624.53014178227
"503",4286.51415874109
"504",4654.81788756179
"505",12769.795874182
"506",10108.5282137168
"507",6919.86278021108
"508",4706.22867924589
"509",4257.49060362343
"510",2075.58169381016
"511",11889.9756132912
"512",5532.47115131943
"513",10619.0143653978
"514",5491.11187260825
"515",5676.81296026852
"516",11541.3925567926
"517",3962.57324408214
"518",11481.5013536972
"519",4526.51663960516
"520",7699.43200926296
"521",12399.8096240661
"522",12138.0666608826
"523",4388.49109585138
"524",8140.04632340382
"525",2649.71129090312
"526",10157.0438064466
"527",14082.3144152889
"528",11342.6341416004
"529",3135.00477810715
"530",7592.37323974445
"531",10637.3713411109
"532",9188.0563229605
"533",7657.70904932572
"534",13077.6598083141
"535",6583.50461108392
"536",9219.17136377503
"537",6075.72293551691
"538",4262.66570612815
"539",3060.47270077764
"540",4890.6463178813
"541",9863.19170797201
"542",3487.70395601539
"543",2327.08002091893
"544",6497.50452881034
"545",2389.33903464146
"546",8316.95439092399
"547",4282.2147103066
"548",17440.5481709992
"549",2984.86109903327
"550",4447.72212396494
"551",3364.7612400351
"552",2879.92739995201
"553",4954.1750589217
"554",6075.02006859509
"555",11189.3732006435
"556",3698.28436948802
"557",2210.93138261653
"558",5311.50793520441
"559",3289.36116557877
"560",3238.88799947096
"561",2089.33241979623
"562",4326.91014454238
"563",3452.33387604691
"564",5941.55037903788
"565",13826.9866397821
"566",5559.74449519172
"567",2265.21674992314
"568",4277.1490541477
"569",7014.42210834998
"570",2931.4024213435
"571",2449.34439327936
"572",5092.37282566521
"573",9912.44727941364
"574",4799.12810875873
"575",6093.05534184136
"576",2150.57929514258
"577",4029.73927538699
"578",4664.00302716778
"579",2546.01746264307
"580",5173.49007343529
"581",2367.13791580373
"582",4805.548324862
"583",2979.5759674742
"584",10180.0396807052
"585",11932.5896433066
"586",4826.96529469806
"587",4287.64079498401
"588",6286.2138878751
"589",4933.67753893192
"590",5817.77935072818
"591",2306.65212005657
"592",5537.3544020328
"593",2604.18647228835
"594",2217.41293205328
"595",2276.03372812646
"596",3712.29021053639
"597",9765.90745441492
"598",6601.0573141698
"599",10685.2416504862
"600",3831.63568162757
"601",3047.90425250713
"602",5201.15451788978
"603",3729.10250674968
"604",3716.56871938273
"605",5304.1622116118
"606",3026.90735239329
"607",8514.60179627586
"608",13047.4307235547
"609",5394.79340142326
"610",5227.242870198
"611",6515.7131726489
"612",16329.1297848812
"613",3733.52901410635
"614",9014.39994159324
"615",13573.7534704118
"616",2889.98527063632
"617",4399.59338227537
"618",14970.8557610511
"619",4364.42416219179
"620",2644.4893217658
"621",6075.72293551691
"622",2633.70711640553
"623",8439.04639201712
"624",3459.13024627378
"625",5532.94596573404
"626",6491.41657937635
"627",10497.0086331708
"628",4267.84093853544
"629",4204.73366914849
"630",10401.4633888833
"631",4066.60769717801
"632",3068.42348247316
"633",13815.9790271982
"634",7375.67768333763
"635",5545.05967314559
"636",4762.31309824974
"637",16034.0971631354
"638",11545.2776502558
"639",4552.59256958881
"640",16044.7212992017
"641",5358.27471790232
"642",3076.76935613783
"643",2195.4010972668
"644",2719.95729296099
"645",11620.3691461684
"646",3216.22466222666
"647",8879.69765696327
"648",2053.47897066698
"649",9622.11774251065
"650",4004.37283679284
"651",3358.67613116555
"652",11978.1246750862
"653",2287.97266345501
"654",10715.5610333084
"655",11811.513099479
"656",3009.39803172245
"657",3522.75575451133
"658",3709.14053549267
"659",3439.36232563425
"660",3940.6278914647
"661",4231.1306008121
"662",6655.11992096805
"663",4454.08755130799
"664",7587.26540034579
"665",8954.64172186792
"666",3379.2947633824
"667",1911.98278426538
"668",5146.10614154204
"669",6052.06838508821
"670",16208.5437254101
"671",2076.30023262936
"672",10091.3906147073
"673",9410.07077395295
"674",2425.19775054513
"675",7267.27994098158
"676",4652.4249797022
"677",3758.79445971228
"678",10348.8891816802
"679",11222.9742371252
"680",6905.29896254465
"681",7284.02952253528
"682",4917.68094389006
"683",4423.4009833755
"684",4059.71136345811
"685",3956.05828693021
"686",3738.91553150029
"687",2136.62093856499
"688",3975.51990928235
"689",4682.54229558529
"690",5023.52347837996
"691",17734.643927007
"692",5870.89997849964
"693",5572.65738156182
"694",2478.22572834939
"695",3777.78396678383
"696",9273.5519126851
"697",3504.3130204243
"698",1921.26255824853
"699",10017.4226979597
"700",16273.6469985814
"701",3675.62667152336
"702",14921.5467186895
"703",6412.61858565737
"704",3090.6326174182
"705",10621.7921227632
"706",13868.9698479114
"707",1753.41044648207
"708",3827.76702921775
"709",3398.36265012944
"710",5787.25195047319
"711",13214.4958775067
"712",6144.54215014209
"713",7423.52025776736
"714",2054.74216110026
"715",2396.81377388606
"716",8587.17434511797
"717",2379.75809906965
"718",3527.08222635739
"719",2670.36756333943
"720",2381.46392117247
"721",7536.2156516372
"722",8645.96051821238
"723",13794.6641366981
"724",7089.51680609839
"725",14187.74857619
"726",4123.6901134884
"727",4622.69160918293
"728",9315.40601605747
"729",8057.95451645821
"730",7384.56003951605
"731",3091.8727542704
"732",16083.7028108345
"733",5517.87320213408
"734",6543.7140834023
"735",13695.9958340142
"736",2802.34026116716
"737",3133.88604135957
"738",6408.5583573491
"739",8130.85235348863
